Timestamp,User,SourceIP,Location,Application,Status,FailureReason,DeviceInfo
2024-10-11 11:45:17,kari.berg@nordavind.no,10.0.1.123,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-11 12:22:44,bjorn.andersen@nordavind.no,10.0.1.145,Oslo NO,Microsoft 365,Success,,macOS 14 / Chrome 129
2024-10-11 13:08:33,silje.jensen@nordavind.no,10.0.1.167,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-11 13:45:56,erik.larsen@nordavind.no,10.0.1.189,Oslo NO,Microsoft 365,Success,,Windows 11 / Edge 128
2024-10-11 14:23:12,lars.olsen@nordavind.no,10.0.1.023,Oslo NO,SharePoint Online,Success,,Windows 11 / Chrome 129
2024-10-11 15:01:38,emma.berg@nordavind.no,10.0.1.045,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-11 15:40:23,kjetil.berg@nordavind.no,89.34.237.89,Bucharest RO,Azure Portal,Success,,Windows 10 / Chrome 118
2024-10-11 15:43:08,kjetil.berg@nordavind.no,89.34.237.89,Bucharest RO,Azure Portal,Success,,Windows 10 / Chrome 118
2024-10-11 15:58:14,mari.hansen@nordavind.no,89.34.237.91,Bucharest RO,Microsoft 365,Success,,Windows 10 / Chrome 118
2024-10-11 16:12:45,thomas.hansen@nordavind.no,10.0.1.067,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-11 16:34:28,sofie.andersen@nordavind.no,10.0.1.089,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-11 17:08:17,kristian.jensen@nordavind.no,10.0.1.034,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-11 17:45:33,maria.larsen@nordavind.no,10.0.1.112,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-12 08:11:23,lars.olsen@nordavind.no,10.0.1.023,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-12 08:16:45,emma.berg@nordavind.no,10.0.1.045,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-12 08:22:38,thomas.hansen@nordavind.no,10.0.1.067,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-12 08:28:52,sofie.andersen@nordavind.no,10.0.1.089,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-12 08:34:17,kristian.jensen@nordavind.no,10.0.1.034,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-12 08:40:33,maria.larsen@nordavind.no,10.0.1.112,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-12 08:46:48,andreas.nilsen@nordavind.no,10.0.1.134,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-12 08:52:22,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-12 08:58:15,henrik.christensen@nordavind.no,10.0.1.178,Oslo NO,Microsoft Teams,Success,,Windows 11 / Edge 128
2024-10-12 09:04:37,julie.martinsen@nordavind.no,10.0.1.192,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-12 09:11:44,kjetil.berg@nordavind.no,10.0.1.087,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-13 08:09:15,lars.olsen@nordavind.no,10.0.1.023,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-13 08:15:42,emma.berg@nordavind.no,10.0.1.045,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-13 08:21:28,thomas.hansen@nordavind.no,10.0.1.067,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-13 08:27:53,sofie.andersen@nordavind.no,10.0.1.089,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-13 08:33:17,kristian.jensen@nordavind.no,10.0.1.034,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-13 08:39:45,maria.larsen@nordavind.no,10.0.1.112,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-13 08:45:22,andreas.nilsen@nordavind.no,10.0.1.134,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-13 08:51:38,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-14 08:07:44,lars.olsen@nordavind.no,10.0.1.023,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-14 08:13:26,emma.berg@nordavind.no,10.0.1.045,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-14 08:19:52,thomas.hansen@nordavind.no,10.0.1.067,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-14 08:25:38,sofie.andersen@nordavind.no,10.0.1.089,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-14 08:31:15,kristian.jensen@nordavind.no,10.0.1.034,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-14 08:37:42,maria.larsen@nordavind.no,10.0.1.112,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-14 08:43:28,andreas.nilsen@nordavind.no,10.0.1.134,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-14 08:49:16,kjetil.berg@nordavind.no,10.0.1.087,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-14 08:55:33,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-15 08:10:22,lars.olsen@nordavind.no,10.0.1.023,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-15 08:16:45,emma.berg@nordavind.no,10.0.1.045,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-15 08:22:18,thomas.hansen@nordavind.no,10.0.1.067,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-15 08:28:44,sofie.andersen@nordavind.no,10.0.1.089,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-15 08:34:52,kristian.jensen@nordavind.no,10.0.1.034,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-15 08:41:27,maria.larsen@nordavind.no,10.0.1.112,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-15 08:47:33,andreas.nilsen@nordavind.no,10.0.1.134,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-15 08:53:18,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-16 08:08:35,lars.olsen@nordavind.no,10.0.1.023,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-16 08:14:52,emma.berg@nordavind.no,10.0.1.045,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-16 08:20:38,thomas.hansen@nordavind.no,10.0.1.067,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-16 08:26:15,sofie.andersen@nordavind.no,10.0.1.089,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-16 08:32:44,kristian.jensen@nordavind.no,10.0.1.034,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-16 08:38:27,maria.larsen@nordavind.no,10.0.1.112,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-16 08:44:53,andreas.nilsen@nordavind.no,10.0.1.134,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-16 08:50:38,kjetil.berg@nordavind.no,10.0.1.087,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-16 08:56:22,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-17 08:11:48,lars.olsen@nordavind.no,10.0.1.023,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-17 08:17:33,emma.berg@nordavind.no,10.0.1.045,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-17 08:23:19,thomas.hansen@nordavind.no,10.0.1.067,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-17 08:29:42,sofie.andersen@nordavind.no,10.0.1.089,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-17 08:35:28,kristian.jensen@nordavind.no,10.0.1.034,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-17 08:41:55,maria.larsen@nordavind.no,10.0.1.112,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-17 08:47:38,andreas.nilsen@nordavind.no,10.0.1.134,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-17 08:53:22,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-18 08:09:27,lars.olsen@nordavind.no,10.0.1.023,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-18 08:15:44,emma.berg@nordavind.no,10.0.1.045,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-18 08:21:36,thomas.hansen@nordavind.no,10.0.1.067,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-18 08:27:52,sofie.andersen@nordavind.no,10.0.1.089,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-18 08:33:28,kristian.jensen@nordavind.no,10.0.1.034,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-18 08:39:45,maria.larsen@nordavind.no,10.0.1.112,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-18 08:45:33,andreas.nilsen@nordavind.no,10.0.1.134,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-18 08:51:28,kjetil.berg@nordavind.no,10.0.1.087,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-18 08:57:15,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-19 08:06:33,lars.olsen@nordavind.no,10.0.1.023,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-19 08:12:48,emma.berg@nordavind.no,10.0.1.045,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-19 08:18:22,thomas.hansen@nordavind.no,10.0.1.067,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-19 08:24:55,sofie.andersen@nordavind.no,10.0.1.089,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-19 08:30:38,kristian.jensen@nordavind.no,10.0.1.034,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-19 08:36:47,maria.larsen@nordavind.no,10.0.1.112,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
